Date,Stock A,Stock B,Market Cap A,Market Cap B,Month,Stock A % Change,Stock B % Change
2014-07-29,163.31868,115.0795998,103630.47234536809,88405.31754493478,2014-07,-1.0375867518724546,-1.4605392164166897
2014-07-30,163.00116,115.435461764,103428.99663187897,88678.6943205254,2014-07,-0.19441744202194355,0.30923114489316283
2014-07-31,159.76925999999995,112.68671824599998,101378.26169100753,86567.08162826113,2014-07,-1.9827466258522608,-2.3811950643205626
2014-08-01,158.88474,112.36765981,100817.00791771644,86321.97769673036,2014-08,-0.553623394137237,-0.2831375702178618
2014-08-04,159.61049999999997,112.10996292999998,101277.52383426299,86124.01233582944,2014-08,0.45678395546355777,-0.2293336716594041
2014-08-05,158.51052,111.96270757,100579.55439824714,86010.88927245751,2014-08,-0.6891651865008619,-0.13134903995277725
2014-08-06,158.2497,111.12826053,100414.0564907382,85369.85858001647,2014-08,-0.16454428387467912,-0.7452901578664517
2014-08-07,157.77342,111.61911173,100111.84292050452,85746.93545792297,2014-08,-0.30096739519885896,0.44169790623824756
2014-08-08,159.7239,113.76657283999998,101349.4794462234,87396.63689653491,2014-08,1.2362538632933129,1.9239188313866507
2014-08-11,159.41772,114.31879333,101155.19929393033,87820.85828640866,2014-08,-0.1916932907348179,0.4853978424547156
2014-08-12,159.75791999999998,114.01201132999998,101371.06612981152,87585.18523771709,2014-08,0.21340162185230493,-0.2683565764331042
2014-08-13,160.8012,115.680886075,102033.0577598472,88867.23176925577,2014-08,0.6530380465644692,1.4637709882773464
2014-08-14,161.41356,115.82814788,102421.61806443337,88980.35978374218,2014-08,0.380818053596621,0.1273000320074713
2014-08-15,160.93727999999996,115.6318074,102119.40449419965,88829.52903257958,2014-08,-0.2950681466910354,-0.16951016103911032
2014-08-18,163.43207999999998,116.89574924,103702.42795732847,89800.5019931888,2014-08,1.550169109357391,1.093074534092242
2014-08-19,163.5795,116.23308722999998,103795.970252877,89291.43830578608,2014-08,0.09020260893699561,-0.5668828972039908
2014-08-20,163.97639999999998,117.52157162999998,104047.8148947384,90281.26511029061,2014-08,0.24263431542459468,1.1085349539502243
2014-08-21,163.86299999999997,117.73019628,103975.859282778,90441.53268562982,2014-08,-0.06915629322269412,0.17752030295923316
2014-08-22,163.44341999999995,117.26387475,103709.62351852449,90083.29974938973,2014-08,-0.25605536332181655,-0.3960933938230604
2014-08-25,164.08979999999997,117.57066190599998,104119.77050669878,90318.97675897284,2014-08,0.39547630611254103,0.26162119975485787
2014-08-26,163.97639999999998,117.20253124,104047.8148947384,90036.17504188034,2014-08,-0.06910850034553828,-0.3131143943837844
2014-08-27,163.22796,117.27615892,103572.90785579977,90092.73657356632,2014-08,-0.4564315352696968,0.06282089577847039
2014-08-28,163.27331999999998,116.944827915,103601.69010058392,89838.20472986497,2014-08,0.027789356676377608,-0.28252204715027984
2014-08-29,163.296,116.85892251,103616.081222976,89772.21132511686,2014-08,0.013890818169204344,-0.07345806268785893
2014-09-01,163.296,116.85892251,103616.081222976,89772.21132511686,2014-09,0.0,0.0
2014-09-02,163.54548,117.19025222599998,103774.38356928888,90026.7421785953,2014-09,0.15277777777777946,0.28352966883775643
2014-09-03,163.09187999999995,117.141169684,103486.56112144726,89989.03647125047,2014-09,-0.2773540424351961,-0.04188278552837987
2014-09-04,162.85374,116.56441179,103335.45433633044,89545.96519837297,2014-09,-0.14601585314975019,-0.49236139228920894
2014-09-05,163.52279999999996,117.325237595,103759.99244689678,90130.43931024251,2014-09,0.4108349000765843,0.6527084839330621
2014-09-08,164.30525999999998,116.87119379,104256.48616942356,89781.63824706453,2014-09,0.47850208044384335,-0.3869958538395002
2014-09-09,163.81763999999998,115.91404684,103947.07703799383,89046.34823737582,2014-09,-0.29677686520808155,-0.8189759332140167
2014-09-10,164.02175999999997,115.79132115,104076.59713952255,88952.06911567025,2014-09,0.12460196594212825,-0.10587646048575428
2014-09-11,163.69289999999998,116.25762979,103867.9258648374,89310.29214968141,2014-09,-0.20049778761060955,0.40271467271362216
2014-09-12,163.22796,115.96313195999998,103572.90785579977,89084.05592516645,2014-09,-0.2840318669899422,-0.2533148409544994
2014-09-15,163.84031999999996,116.14720116,103961.4681603859,89225.45975438139,2014-09,0.37515631513127534,0.1587307939074245
2014-09-16,164.2599,116.40489804,104227.7039246394,89423.42511528231,2014-09,0.2560908084163982,0.22187093397543212
2014-09-17,164.84958,117.23933219,104601.87310683349,90064.4459054944,2014-09,0.35899206075251655,0.7168376623750472
2014-09-18,166.51656,118.28239099,105659.62060265137,90865.73427104569,2014-09,1.0112127674210658,0.889683334522573
2014-09-19,166.34645999999998,118.41737507,105551.68718471075,90969.43041246997,2014-09,-0.10215200217925657,0.11412018210843478
2014-09-22,165.23514,116.20854467,104846.52218749885,89272.58446189076,2014-09,-0.6680755334378508,-1.865292486591863
2014-09-23,163.71558,114.60100699,103882.31698722948,88037.65768674701,2014-09,-0.9196348912222985,-1.3833214111449
2014-09-24,164.29392,115.140963934,104249.29060822753,88452.45809601045,2014-09,0.3532589873242564,0.47116247769718456
2014-09-25,161.57231999999996,113.38617605,102522.3559211779,87104.41221838632,2014-09,-1.6565433462175871,-1.5240343871064543
2014-09-26,161.50427999999997,114.49057836,102479.18255400167,87952.82529144699,2014-09,-0.04211117349802729,0.9740184813296748
2014-09-29,161.24345999999997,114.77283069,102313.68464649275,88169.65439847216,2014-09,-0.1614941721668317,0.2465288707971247
2014-09-30,160.66512,114.26970821,101946.71102549473,87783.15059861801,2014-09,-0.35867501230745225,-0.438363745997461
2014-10-01,157.83012,112.47810133,100147.82072648473,86406.81999425932,2014-10,-1.764539808018073,-1.5678756059370191
2014-10-02,157.25177999999997,111.815458655,99780.84710548667,85897.77116020003,2014-10,-0.36643195861475464,-0.5891303881951804
2014-10-03,158.95277999999996,112.53944484,100860.18128489266,86453.94470176869,2014-10,1.0817047667123436,0.6474830883928195
2014-10-06,159.14556,112.83395556,100982.50582522537,86680.1908285126,2014-10,0.12128130127704306,0.26169555076329676
2014-10-07,156.12912,110.18338486,99068.48654707873,84643.99549227543,2014-10,-1.8953968932592158,-2.349089586414921
2014-10-08,160.35894,112.22039156,101752.43087320164,86208.84473112947,2014-10,2.7091807088901687,1.8487421697819695
2014-10-09,157.21775999999997,110.15882941,99759.26042189855,84625.13174615115,2014-10,-1.9588430804045154,-1.8370655469489794
2014-10-10,151.76322,107.864120674,96298.19548660332,82862.31318550462,2014-10,-3.4694171956145325,-2.0830910679518144
2014-10-13,150.7086,105.115372,95629.0082953716,80750.69653234878,2014-10,-0.69491145483076,-2.548343839289813
2014-10-14,152.16012,105.76574984,96550.04012846474,81250.32339557489,2014-10,0.9631301730624653,0.6187276205425141
2014-10-15,152.20548,104.44043871,96578.82237324888,80232.20592299842,2014-10,0.029810702042021298,-1.253062671048899
2014-10-16,153.1467,106.01114966,97176.05395252022,81438.84203007026,2014-10,0.618387721651037,1.503929866056386
2014-10-17,155.8116,110.51468364,98867.01083358961,84898.50258040443,2014-10,1.7400962606441972,4.248170116486594
2014-10-20,156.03839999999997,110.44106885,99010.92205751038,84841.95095094739,2014-10,0.14556040756912303,-0.0666108679637567
2014-10-21,159.81462,114.02426972,101407.04393579172,87594.60225743584,2014-10,2.4200581395348975,3.2444460265652397
2014-10-22,157.56929999999997,111.86455022,99982.3228189758,85935.48379910515,2014-10,-1.4049528134534972,-1.8940875528547174
2014-10-23,164.48669999999998,114.8341742,104371.6151485602,88216.77910598154,2014-10,4.390068369917244,2.654660456918445
2014-10-24,168.50106,116.20854467,106918.84381195836,89272.58446189076,2014-10,2.440537745604976,1.1968305424536085
2014-10-27,169.60103999999998,114.981421826,107616.81324797423,88329.89622801612,2014-10,0.6528030150077413,-1.0559661060076775
2014-10-28,171.30203999999998,116.78529483,108696.14742738023,89715.64979343089,2014-10,1.0029419630917413,1.5688386657192188
2014-10-29,171.24533999999997,116.638047204,108660.16962140003,89602.53267139631,2014-10,-0.03309943068979804,-0.1260840469806901
2014-10-30,172.48139999999998,117.30068859,109444.4857917684,90111.58051523271,2014-10,0.7218065028806064,0.5681176956272571
2014-10-31,174.37518,117.951072875,110646.14451150708,90611.21232957327,2014-10,1.0979618671926428,0.5544590511938896
2014-11-03,173.8422,117.38659399499998,110307.9531352932,90177.5739199808,2014-11,-0.30565129739221764,-0.4785703650175499
2014-11-04,175.8267,116.93255019,111567.1763446002,89828.77285680284,2014-11,1.1415525114155223,-0.3867935762914443
2014-11-05,176.55245999999997,118.67505905999998,112027.69226114675,91167.38587114193,2014-11,0.41277007416962164,1.4901829021676471
2014-11-06,176.9607,118.67505905999998,112286.73246420421,91167.38587114193,2014-11,0.2312287237459243,0.0
2014-11-07,177.5277,118.74869963,112646.51052400621,91223.95730505686,2014-11,0.3204101249599578,0.062052271625834265
2014-11-10,178.78643999999997,119.36226363,113445.21781676663,91695.30340243997,2014-11,0.7090386458000308,0.516691131702296
2014-11-11,178.16274,119.00639651,113049.46195098446,91421.92266595775,2014-11,-0.34885195991370965,-0.2981403914248171
2014-11-12,178.80911999999998,119.04321035,113459.60893915872,91450.20343180075,2014-11,0.36280313156384913,0.0309343372117743
2014-11-13,179.5689,119.10455386,113941.71153929342,91497.32813931012,2014-11,0.42491121258245723,0.0515304567304975
2014-11-14,180.13589999999996,118.773248635,114301.48959909538,91242.81610006664,2014-11,0.315756236185627,-0.2781633567003894
2014-11-17,179.95445999999998,118.454194066,114186.36061995875,90997.71513920453,2014-11,-0.1007239534151605,-0.26862494094144207
2014-11-18,181.6101,118.82232731,115236.9125545806,91280.51883674283,2014-11,0.9200327682903797,0.3107810972019287
2014-11-19,180.11321999999998,118.50327403,114287.09847670332,91035.4188661036,2014-11,-0.8242272869185219,-0.268512902602569
2014-11-20,180.71424,118.699609354,114668.46322009344,91186.24565637464,2014-11,0.33369010892148054,0.16567924017887314
2014-11-21,181.62144,120.54030651,115244.10811577665,92600.28790941554,2014-11,0.5020080321285203,1.550718798501216
2014-11-24,181.30392,120.589386474,115042.63240228753,92637.9916363146,2014-11,-0.17482517482517723,0.04071664111451323
2014-11-25,179.24004,121.33792682,113733.04026460824,93213.02793378466,2014-11,-1.1383537653239961,0.6207348489673192
2014-11-26,179.52354,121.58335242,113912.92929450925,93401.56637273789,2014-11,0.15816778438568768,0.202266188678224
2014-11-27,179.52354,121.58335242,113912.92929450925,93401.56637273789,2014-11,0.0,0.0
2014-11-28,181.54206,121.571074695,115193.73918740437,93392.13449967575,2014-11,1.124376223864565,-0.010098195810226418
2014-12-01,179.35343999999998,119.52179027,113804.99587656863,91817.85338775958,2014-12,-1.2055718658254833,-1.685667771006616
2014-12-02,182.1204,120.086263994,115560.7128084024,92251.48783646047,2014-12,1.5427415275670375,0.4722768314671777
2014-12-03,184.00284,122.67548345,116755.17596694504,94240.5525238509,2014-12,1.0336239103362344,2.1561329080313163
2014-12-04,184.00284,121.80423546,116755.17596694504,93571.25096779582,2014-12,0.0,-0.7102054668935542
2014-12-05,184.01418,122.331894055,116762.3715281411,93976.60366043083,2014-12,0.0061629483544933805,0.4332021731487945
2014-12-08,182.49462,121.17838729,115798.16632787173,93090.4680462361,2014-12,-0.8257841868490878,-0.9429321551102543
2014-12-09,182.38122,121.87785025,115726.21071591134,93627.80259725284,2014-12,-0.06213881811967248,0.57721758445759
2014-12-10,179.44415999999998,119.644497914,113862.56036613695,91912.11864634462,2014-12,-1.6103960703849007,-1.832451369480892
2014-12-11,180.4761,120.1230701,114517.35643497661,92279.7626609661,2014-12,0.5750758341759532,0.3999951475779584
2014-12-12,178.17407999999998,117.6565686,113056.65751218048,90384.97115394384,2014-12,-1.2755262331134332,-2.0533120723160825
2014-12-15,177.86789999999996,117.57066190599998,112862.37735988738,90318.97675897284,2014-12,-0.17184317718941244,-0.07301478788835913
2014-12-16,180.3627,118.27011971,114445.4008230162,90856.30734909803,2014-12,1.402613962384458,0.5949254624076694
2014-12-17,182.1204,119.84084355,115560.7128084024,92062.9533583988,2014-12,0.9745363093366821,1.3280817199233796
